sector,ocupacion,nivel_educ,Hombre,Mujer,brecha_pct
Comercio,Servicios personales,Sin instrucción,44.44444,27.77778,37.5
Comercio,Servicios personales,Superior,50.77911,55.27778,-8.9
Comercio,Trabajadores de la educación,Básica,77.51938,83.33333,-7.5
Comercio,Trabajadores de la educación,Media superior,74.07407,60.93992,17.7
Comercio,Trabajadores de la educación,No especificado,193.79845,,
Comercio,Trabajadores de la educación,Sin instrucción,106.978175,35.685485,66.6
Comercio,Trabajadores de la educación,Superior,96.89922,77.51938,20.0
Comercio,Trabajadores del arte,Básica,43.47826,41.66667,4.2
Comercio,Trabajadores del arte,Media superior,45.83333,44.0,4.0
Comercio,Trabajadores del arte,No especificado,43.41085,57.44681,-32.3
Comercio,Trabajadores del arte,Sin instrucción,41.66667,36.458335000000005,12.5
Comercio,Trabajadores del arte,Superior,51.16279,46.2963,9.5
Construcción,Actividades administrativas,Básica,54.16667,54.34783,-0.3
Construcción,Actividades administrativas,Media superior,54.34783,54.927095,-1.1
Construcción,Actividades administrativas,No especificado,50.0,,
Construcción,Actividades administrativas,Sin instrucción,52.94118,45.3125,14.4
Construcción,Actividades administrativas,Superior,58.82353,72.0,-22.4
Construcción,Actividades agrícolas,Básica,35.71429,47.16981,-32.1
Construcción,Actividades agrícolas,Media superior,41.66667,50.0,-20.0
Construcción,Actividades agrícolas,No especificado,33.22259,40.0,-20.4
Construcción,Actividades agrícolas,Sin instrucción,36.90476,52.77778,-43.0
Construcción,Actividades agrícolas,Superior,45.0,46.51163,-3.4
Construcción,Comerciantes y vendedores,Básica,43.362405,45.83333,-5.7
Construcción,Comerciantes y vendedores,Media superior,46.51163,81.75176,-75.8
Construcción,Comerciantes y vendedores,Superior,82.36434,109.385385,-32.8
Construcción,Funcionarios y directivos,Básica,62.5,56.656715,9.3
Construcción,Funcionarios y directivos,Media superior,72.91667,55.90278,23.3
Construcción,Funcionarios y directivos,No especificado,111.111115,,
Construcción,Funcionarios y directivos,Sin instrucción,73.757765,127.90698,-73.4
Construcción,Funcionarios y directivos,Superior,88.88889,77.51938,12.8
Construcción,Industria extractiva y construcción,Básica,48.681325,76.08696,-56.3
Construcción,Industria extractiva y construcción,Media superior,50.727275,58.60978,-15.5
Construcción,Industria extractiva y construcción,Superior,85.918365,93.055555,-8.3
Construcción,Operadores de maquinaria,Básica,47.426469999999995,,
Construcción,Operadores de maquinaria,Media superior,66.66667,,
Construcción,Operadores de maquinaria,Sin instrucción,44.49336,,
Construcción,Operadores de maquinaria,Superior,53.0303,,
Construcción,Otras ocupaciones,Media superior,125.0,,
Construcción,Otras ocupaciones,No especificado,55.81395,,
Construcción,Otras ocupaciones,Superior,41.66667,116.27907,-179.1
Construcción,Profesionistas y técnicos,Básica,213.17829,,
Construcción,Profesionistas y técnicos,Media superior,269.23077,,
Construcción,Profesionistas y técnicos,Sin instrucción,126.666665,,
Construcción,Profesionistas y técnicos,Superior,129.844965,96.25323,25.9
Construcción,Servicios personales,Básica,69.313725,,
Construcción,Servicios personales,Media superior,63.63636,60.86957,4.3
Construcción,Servicios personales,No especificado,84.44444,,
Construcción,Servicios personales,Sin instrucción,69.76744,,
Construcción,Servicios personales,Superior,66.66667,39.39394,40.9
Construcción,Trabajadores de la educación,Básica,77.77778,,
Construcción,Trabajadores de la educación,Media superior,102.04082,200.0,-96.0
Construcción,Trabajadores de la educación,No especificado,,61.30951999999999,
Construcción,Trabajadores de la educación,Sin instrucción,340.90909,,
Construcción,Trabajadores de la educación,Superior,155.03876,110.597825,28.7
Construcción,Trabajadores del arte,Básica,58.82353,46.663295,20.7
Construcción,Trabajadores del arte,Media superior,63.858695,59.32203,7.1
Construcción,Trabajadores del arte,Sin instrucción,,72.91667,
Construcción,Trabajadores del arte,Superior,76.49939,66.66667,12.9
Gobierno,Actividades administrativas,Básica,46.51163,52.32558,-12.5
Gobierno,Actividades administrativas,Media superior,53.57143,50.193799999999996,6.3
Gobierno,Actividades administrativas,Sin instrucción,44.18605,35.65891,19.3
Gobierno,Actividades administrativas,Superior,68.677325,70.536935,-2.7
Gobierno,Actividades agrícolas,Básica,46.51163,40.69767,12.5
Gobierno,Actividades agrícolas,Media superior,49.83389,46.51163,6.7
Gobierno,Actividades agrícolas,No especificado,32.29974,,
Gobierno,Actividades agrícolas,Sin instrucción,41.66667,37.984494999999995,8.8
Gobierno,Actividades agrícolas,Superior,55.55556,52.32558,5.8
Gobierno,Comerciantes y vendedores,Básica,41.893685000000005,43.60465,-4.1
Gobierno,Comerciantes y vendedores,Media superior,48.44961,50.0,-3.2
Gobierno,Comerciantes y vendedores,Sin instrucción,34.05316,,
Gobierno,Comerciantes y vendedores,Superior,72.09302,66.02906999999999,8.4
Gobierno,Funcionarios y directivos,Básica,64.163895,61.392579999999995,4.3
Gobierno,Funcionarios y directivos,Media superior,62.25775,65.40698,-5.1
Gobierno,Funcionarios y directivos,No especificado,14.53488,,
Gobierno,Funcionarios y directivos,Sin instrucción,50.0646,37.209305,25.7
Gobierno,Funcionarios y directivos,Superior,87.2093,81.39535,6.7
Gobierno,Industria extractiva y construcción,Básica,38.75969,42.2833,-9.1
Gobierno,Industria extractiva y construcción,Media superior,45.34884,47.676925,-5.1
Gobierno,Industria extractiva y construcción,No especificado,45.21964,,
Gobierno,Industria extractiva y construcción,Sin instrucción,34.34705,21.14165,38.4
Gobierno,Industria extractiva y construcción,Superior,52.233595,58.13953,-11.3
Gobierno,Operadores de maquinaria,Básica,58.13953,37.5,35.5
Gobierno,Operadores de maquinaria,Media superior,58.13953,62.5,-7.5
Gobierno,Operadores de maquinaria,Sin instrucción,28.4415,,
Gobierno,Operadores de maquinaria,Superior,58.13953,69.76744,-20.0
Gobierno,Otras ocupaciones,Media superior,56.20155,58.13953,-3.4
Gobierno,Otras ocupaciones,Superior,74.75083,72.35142,3.2
Gobierno,Profesionistas y técnicos,Básica,,23.25581,
Gobierno,Profesionistas y técnicos,Media superior,67.82946,58.13953,14.3
Gobierno,Profesionistas y técnicos,Superior,93.02326,81.39535,12.5
Gobierno,Servicios personales,Básica,56.97674,23.25581,59.2
Gobierno,Servicios personales,Media superior,55.81395,53.156144999999995,4.8
Gobierno,Servicios personales,No especificado,81.39535,,
Gobierno,Servicios personales,Sin instrucción,47.642444999999995,,
Gobierno,Servicios personales,Superior,55.37099,69.904715,-26.2
Gobierno,Trabajadores de la educación,Básica,44.29679,50.387595000000005,-13.7
Gobierno,Trabajadores de la educación,Media superior,67.74136999999999,58.13953,14.2
Gobierno,Trabajadores de la educación,Sin instrucción,67.44185999999999,25.83979,61.7
Gobierno,Trabajadores de la educación,Superior,106.31229,116.27907,-9.4
Gobierno,Trabajadores del arte,Básica,58.970095,58.13953,1.4
Gobierno,Trabajadores del arte,Media superior,66.44518,65.40698,1.6
Gobierno,Trabajadores del arte,No especificado,87.5,83.33332999999999,4.8
Gobierno,Trabajadores del arte,Sin instrucción,72.29954,58.13953,19.6
Gobierno,Trabajadores del arte,Superior,81.39535,78.48837,3.6
Industria extractiva,Actividades administrativas,Básica,55.55556,59.52381,-7.1
Industria extractiva,Actividades administrativas,Media superior,55.55556,53.94057,2.9
Industria extractiva,Actividades administrativas,No especificado,39.28571,,
Industria extractiva,Actividades administrativas,Sin instrucción,44.18605,,
Industria extractiva,Actividades administrativas,Superior,83.05648,93.52566999999999,-12.6
Industria extractiva,Actividades agrícolas,Básica,36.607145,62.5,-70.7
Industria extractiva,Actividades agrícolas,Media superior,41.36905,41.66667,-0.7
Industria extractiva,Actividades agrícolas,Sin instrucción,30.0,50.50403,-68.3
Industria extractiva,Actividades agrícolas,Superior,91.73127,72.093025,21.4
Industria extractiva,Comerciantes y vendedores,Básica,36.66667,,
Industria extractiva,Comerciantes y vendedores,Media superior,152.5,,
Industria extractiva,Comerciantes y vendedores,Superior,66.66667,68.60465,-2.9
Industria extractiva,Funcionarios y directivos,Básica,51.75233,,
Industria extractiva,Funcionarios y directivos,Media superior,58.830845,93.02326,-58.1
Industria extractiva,Funcionarios y directivos,No especificado,124.5814,,
Industria extractiva,Funcionarios y directivos,Sin instrucción,62.5,,
Industria extractiva,Funcionarios y directivos,Superior,116.27907,100.70598000000001,13.4
