sector,nivel_educ,Hombre,Mujer,brecha_pct
Agropecuario,Básica,22.22222,23.86128,-7.4
Agropecuario,Media superior,24.22481,25.0,-3.2
Agropecuario,No especificado,0.98719,,
Agropecuario,Sin instrucción,19.44444,20.0,-2.9
Agropecuario,Superior,26.04409,31.128875,-19.5
Comercio,Básica,26.28918,21.42857,18.5
Comercio,Media superior,27.77778,25.0,10.0
Comercio,No especificado,35.71429,21.35996,40.2
Comercio,Sin instrucción,22.902095000000003,19.04762,16.8
Comercio,Superior,32.55814,28.57143,12.2
Construcción,Básica,33.33333,29.799155,10.6
Construcción,Media superior,33.33333,35.208335000000005,-5.6
Construcción,No especificado,31.25,,
Construcción,Sin instrucción,33.33333,25.0,25.0
Construcción,Superior,41.66667,49.464749999999995,-18.7
Gobierno,Básica,32.55814,30.697675,5.7
Gobierno,Media superior,36.33721,43.02326,-18.4
Gobierno,No especificado,30.23256,,
Gobierno,Sin instrucción,29.06977,22.91667,21.2
Gobierno,Superior,55.37099,56.68605,-2.4
Industria extractiva,Básica,33.33333,49.9031,-49.7
Industria extractiva,Media superior,43.677324999999996,62.5,-43.1
Industria extractiva,No especificado,17.85714,,
Industria extractiva,Sin instrucción,25.0,31.00775,-24.0
Industria extractiva,Superior,69.76744,72.07792,-3.3
Manufactura,Básica,30.0,25.0,16.7
Manufactura,Media superior,32.5,27.77778,14.5
Manufactura,No especificado,29.48505,25.0,15.2
Manufactura,Sin instrucción,25.86207,19.023809999999997,26.4
Manufactura,Superior,37.5,33.22709,11.4
Restaurantes y hospedaje,Básica,27.77778,25.0,10.0
Restaurantes y hospedaje,Media superior,29.16667,26.08696,10.6
Restaurantes y hospedaje,No especificado,29.06977,17.79782,38.8
Restaurantes y hospedaje,Sin instrucción,26.66667,25.0,6.3
Restaurantes y hospedaje,Superior,32.94574,29.06977,11.8
Servicios diversos,Básica,29.62963,29.16667,1.6
Servicios diversos,Media superior,32.29974,31.25,3.2
Servicios diversos,No especificado,25.0,31.25,-25.0
Servicios diversos,Sin instrucción,26.157895,25.76037,1.5
Servicios diversos,Superior,38.75969,33.33333,14.0
Servicios financieros y profesionales,Básica,25.0,25.27806,-1.1
Servicios financieros y profesionales,Media superior,28.84615,29.06977,-0.8
Servicios financieros y profesionales,No especificado,38.436695,28.258519999999997,26.5
Servicios financieros y profesionales,Sin instrucción,22.795005,21.704545000000003,4.8
Servicios financieros y profesionales,Superior,48.44961,45.15951,6.8
Servicios sociales,Básica,33.33333,30.0,10.0
Servicios sociales,Media superior,43.60465,38.75969,11.1
Servicios sociales,No especificado,87.2093,46.51163,46.7
Servicios sociales,Sin instrucción,34.56945,26.06589,24.6
Servicios sociales,Superior,72.67442,65.11628,10.4
Transportes y comunicaciones,Básica,29.06977,24.69719,15.0
Transportes y comunicaciones,Media superior,30.0,30.88849,-3.0
Transportes y comunicaciones,No especificado,25.0,,
Transportes y comunicaciones,Sin instrucción,25.0,21.73913,13.0
Transportes y comunicaciones,Superior,36.0,40.0,-11.1
