anio,ocupacion,Hombre,Mujer,brecha_pp,brecha_pct
2024,Actividades agrícolas,40.74074,41.66667,-0.93,-2.3
2024,Comerciantes y vendedores,40.69767,35.41667,5.28,13.0
2024,Funcionarios y directivos,79.16667,75.0,4.17,5.3
2024,Industria extractiva y construcción,47.47073,51.085840000000005,-3.62,-7.6
2024,Operadores de maquinaria,33.33333,37.37542,-4.04,-12.1
2024,Otras ocupaciones,58.13953,54.195800000000006,3.94,6.8
2024,Profesionistas y técnicos,105.70825,93.02326,12.68,12.0
2024,Servicios personales,47.11797,52.08333,-4.97,-10.5
2024,Trabajadores de la educación,100.0,87.08291,12.92,12.9
2024,Trabajadores del arte,58.13953,52.08333,6.06,10.4
2025,Actividades administrativas,53.57143,44.44444,9.13,17.0
2025,Actividades agrícolas,43.75,45.21964,-1.47,-3.4
2025,Comerciantes y vendedores,43.60465,38.75969,4.84,11.1
2025,Funcionarios y directivos,85.71429,80.0,5.71,6.7
2025,Industria extractiva y construcción,50.899010000000004,55.684754999999996,-4.79,-9.4
2025,Operadores de maquinaria,37.03704,39.13043,-2.09,-5.6
2025,Otras ocupaciones,55.55556,58.13953,-2.58,-4.6
2025,Profesionistas y técnicos,111.62791,103.35917,8.27,7.4
2025,Servicios personales,50.0,56.04167,-6.04,-12.1
2025,Trabajadores de la educación,110.74197,93.02326,17.72,16.0
2025,Trabajadores del arte,62.0155,56.84755,5.17,8.3
